feature,kind,value
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,2.0
Active pages,baseline,2.0
Active pages,baseline,2.0
Active pages,baseline,2.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,3.0
Active pages,baseline,3.0
Active pages,baseline,3.0
Active pages,baseline,3.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,6.0
Active pages,baseline,6.0
Active pages,baseline,32.0
Active pages,baseline,6.0
Active pages,baseline,6.0
Active pages,baseline,6.0
Active pages,baseline,6.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,2.0
Active pages,baseline,2.0
Active pages,baseline,2.0
Active pages,baseline,2.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,6.0
Active pages,baseline,6.0
Active pages,baseline,6.0
Active pages,baseline,6.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,5.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,1.0
Active pages,baseline,1.0
Active pages,baseline,1.0
Active pages,baseline,1.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,32.0
Active pages,baseline,6.0
Active pages,baseline,6.0
Active pages,baseline,6.0
Active pages,baseline,6.0
Active pages,baseline,32.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
Active pages,baseline,4.0
